,prob_basketball,prob_football,prob_tennis,sentiment,polarity
0,1.95313e-08,0.03125,0.835938,0.0,0.0
1,1.95313e-08,0.03125,1.95313e-08,0.0,-0.29375
2,1.95313e-08,0.03125,1.95313e-08,1.0,0.8
3,1.95313e-08,0.03125,0.998047,0.0,0.01833333333333333
4,1.95313e-08,0.03125,1.95313e-08,1.0,0.2
5,1.95313e-08,0.03125,0.835938,0.0,-0.3
6,1.95313e-08,0.03125,0.835938,0.0,0.0
7,0.998047,1.95313e-08,0.958984,1.0,0.1
8,1.95313e-08,0.03125,0.835938,0.0,-0.39375
9,1.95313e-08,0.03125,1.95313e-08,1.0,1.0
10,1.95313e-08,0.03125,1.95313e-08,0.0,0.0
11,1.95313e-08,0.03125,0.835938,0.0,0.0
12,1.95313e-08,0.03125,0.835938,0.0,-0.4791666666666667
13,1.95313e-08,0.03125,0.986328,0.0,0.0
14,1.95313e-08,0.00195314,0.84375,0.0,-0.018750000000000003
15,1.95313e-08,0.03125,0.986328,0.0,0.0
16,1.95313e-08,0.03125,1.95313e-08,0.0,0.0
17,1.95313e-08,0.00781252,0.839844,1.0,0.2866666666666666
18,1.95313e-08,0.03125,0.986328,0.0,-0.4
19,1.95313e-08,0.03125,0.960937,0.0,-0.0875
20,1.95313e-08,0.03125,0.835938,1.0,0.125
21,1.95313e-08,0.03125,0.835938,0.0,-0.25
22,1.95313e-08,0.802734,0.998047,1.0,0.2
23,1.95313e-08,0.03125,0.986328,1.0,0.17
24,1.95313e-08,0.03125,0.835938,0.0,0.0
25,1.95313e-08,0.03125,1.95313e-08,0.0,-0.6
26,1.95313e-08,0.03125,0.996094,1.0,0.4375
27,1.95313e-08,0.03125,0.835938,0.0,-0.6
28,1.95313e-08,0.900391,0.84375,1.0,0.2633333333333333
29,1.95313e-08,0.00195314,0.273438,1.0,0.24226190476190476
30,1.95313e-08,0.03125,0.835938,0.0,0.0
31,1.95313e-08,0.03125,0.835938,0.0,-0.15
32,1.95313e-08,0.929688,0.835938,0.0,0.04999999999999999
33,1.95313e-08,0.03125,0.835938,1.0,0.6
34,1.95313e-08,0.03125,1.95313e-08,0.0,0.0
35,1.95313e-08,0.03125,1.95313e-08,1.0,0.7
36,1.95313e-08,0.998047,0.835938,1.0,0.8
